hcpcs_code,short_description,dosage_per_unit_mg,payment_limit_per_unit,effective_date,biosimilar_reference,specialty
J9035,"Bevacizumab injection",10,7.148,2026-04-01,true,oncology
J9299,"Nivolumab injection",1,27.892,2026-04-01,false,oncology
J9312,"Rituximab injection",10,71.240,2026-04-01,true,oncology
J9228,"Ipilimumab injection",1,158.940,2026-04-01,false,oncology
J9145,"Daratumumab injection",10,76.510,2026-04-01,false,oncology
J9173,"Durvalumab injection",10,112.330,2026-04-01,false,oncology
J9271,"Pembrolizumab injection",1,52.185,2026-04-01,false,oncology
J9317,"Trastuzumab deruxtecan",1,26.915,2026-04-01,false,oncology
J9144,"Daratumumab and hyaluronidase",1,7.650,2026-04-01,false,oncology
J9042,"Brentuximab vedotin",1,84.220,2026-04-01,false,oncology
J0178,"Aflibercept injection",1,468.210,2026-04-01,false,retinal
J1602,"Golimumab IV injection",1,36.540,2026-04-01,false,rheumatology
J3357,"Ustekinumab SC/IV injection",1,75.890,2026-04-01,false,gastroenterology
J1559,"Ocrelizumab injection",10,239.740,2026-04-01,false,neurology
